camada1, camada2, ativacao, solver, score
100,100,  relu ,  adam , 0.2913
100,100,  logistic ,  adam , 0.1539
100,100,  relu ,  lbfgs , 0.2743
100,100,  logistic ,  lbfgs , 0.3253
100,400,  relu ,  adam ,262
100,400,  logistic ,  adam , 0.1
100,400,  relu ,  lbfgs , 0.2431
100,400,  logistic ,  lbfgs , 0.3156
100,700,  relu ,  adam , 0.1204
100,700,  logistic ,  adam , 0.1
100,700,  relu ,  lbfgs , 0.1788
100,700,  logistic ,  lbfgs , 0.3186
100,1000,  relu ,  adam , 0.1001
100,1000,  logistic ,  adam , 0.1
100,1000,  relu ,  lbfgs , 0.2619
100,1000,  logistic ,  lbfgs , 0.3074
100,1300,  relu ,  adam , 0.1
100,1300,  logistic ,  adam , 0.1
100,1300,  relu ,  lbfgs , 0.2714
100,1300,  logistic ,  lbfgs , 0.2905
100,1600,  relu ,  adam , 0.1
100,1600,  logistic ,  adam , 0.1
100,1600,  relu ,  lbfgs , 0.2652
100,1600,  logistic ,  lbfgs , 0.2893
100,1900,  relu ,  adam , 0.1
100,1900,  logistic ,  adam , 0.1
100,1900,  relu ,  lbfgs , 0.1805
100,1900,  logistic ,  lbfgs , 0.2972
400,100,  relu ,  adam , 0.0999
400,100,  logistic ,  adam , 0.1
400,100,  relu ,  lbfgs , 0.2643
400,100,  logistic ,  lbfgs , 0.3697
400,400,  relu ,  adam , 0.1805
400,400,  logistic ,  adam , 0.1632
400,400,  relu ,  lbfgs , 0.2766
400,400,  logistic ,  lbfgs , 0.3868
400,700,  relu ,  adam , 0.2726
400,700,  logistic ,  adam , 0.1
400,700,  relu ,  lbfgs , 0.2541
400,700,  logistic ,  lbfgs , 0.3744
400,1000,  relu ,  adam , 0.1385
400,1000,  logistic ,  adam , 0.1
400,1000,  relu ,  lbfgs , 0.2709
400,1000,  logistic ,  lbfgs , 0.3742
400,1300,  relu ,  adam , 0.1002
400,1300,  logistic ,  adam , 0.1
400,1300,  relu ,  lbfgs , 0.2849
400,1300,  logistic ,  lbfgs , 0.3614
400,1600,  relu ,  adam , 0.1001
400,1600,  logistic ,  adam , 0.1
400,1600,  relu ,  lbfgs , 0.3043
400,1600,  logistic ,  lbfgs , 0.3615
400,1900,  relu ,  adam , 0.1191
400,1900,  logistic ,  adam , 0.1
400,1900,  relu ,  lbfgs , 0.2843
400,1900,  logistic ,  lbfgs ,367
700,100,  relu ,  adam , 0.1
700,100,  logistic ,  adam , 0.1
700,100,  relu ,  lbfgs , 0.1003
700,100,  logistic ,  lbfgs , 0.3756
700,400,  relu ,  adam , 0.3409
700,400,  logistic ,  adam , 0.1
700,400,  relu ,  lbfgs , 0.1208
700,400,  logistic ,  lbfgs , 0.4129
700,700,  relu ,  adam , 0.3232
700,700,  logistic ,  adam , 0.1221
700,700,  relu ,  lbfgs , 0.2896
700,700,  logistic ,  lbfgs , 0.4057
700,1000,  relu ,  adam , 0.2741
700,1000,  logistic ,  adam , 0.1321
700,1000,  relu ,  lbfgs , 0.1044
700,1000,  logistic ,  lbfgs , 0.4023
700,1300,  relu ,  adam , 0.1001
700,1300,  logistic ,  adam , 0.1005
700,1300,  relu ,  lbfgs , 0.0972
700,1300,  logistic ,  lbfgs , 0.4062
700,1600,  relu ,  adam , 0.1003
700,1600,  logistic ,  adam , 0.1
700,1600,  relu ,  lbfgs , 0.3064
700,1600,  logistic ,  lbfgs , 0.3989
700,1900,  relu ,  adam , 0.1718
700,1900,  logistic ,  adam , 0.1
700,1900,  relu ,  lbfgs , 0.3077
700,1900,  logistic ,  lbfgs , 0.3945
1000,100,  relu ,  adam , 0.1
1000,100,  logistic ,  adam , 0.1675
1000,100,  relu ,  lbfgs , 0.1001
1000,100,  logistic ,  lbfgs ,415
